Athlete	Country	NOC	Gender	Sport	Discipline	Event	Event_gender
Mads Rasmussen	Denmark	DEN	Men	Rowing	Rowing	Lightweight Double Sculls	M
Rasmus Quist	Denmark	DEN	Men	Rowing	Rowing	Lightweight Double Sculls	M
Sophie Hosking	Great Britain	GBR	Women	Rowing	Rowing	Lightweight Double Sculls	W
James Thompson	South Africa	RSA	Men	Rowing	Rowing	Lightweight Four	M
John Smith	South Africa	RSA	Men	Rowing	Rowing	Lightweight Four	M
Matthew Brittain	South Africa	RSA	Men	Rowing	Rowing	Lightweight Four	M
Sizwe Ndlovu	South Africa	RSA	Men	Rowing	Rowing	Lightweight Four	M
Eric Murray	New Zealand	NZL	Men	Rowing	Rowing	Pair	M
Hamish Bond	New Zealand	NZL	Men	Rowing	Rowing	Pair	M
Heather Stanning	Great Britain	GBR	Women	Rowing	Rowing	Pair	W
Helen Glover	Great Britain	GBR	Women	Rowing	Rowing	Pair	W
Anastasiia Kozhenkova	Ukraine	UKR	Women	Rowing	Rowing	Quadruple Sculls	W
Karl Schulze	Germany	GER	Men	Rowing	Rowing	Quadruple Sculls	M
Kateryna Tarasenko	Ukraine	UKR	Women	Rowing	Rowing	Quadruple Sculls	W
Lauritz Schoof	Germany	GER	Men	Rowing	Rowing	Quadruple Sculls	M
Nataliya Dovgodko	Ukraine	UKR	Women	Rowing	Rowing	Quadruple Sculls	W
Phillipp Wende	Germany	GER	Men	Rowing	Rowing	Quadruple Sculls	M
Tim Grohmann	Germany	GER	Men	Rowing	Rowing	Quadruple Sculls	M
Yana Dementieva	Ukraine	UKR	Women	Rowing	Rowing	Quadruple Sculls	W
Mahe Drysdale	New Zealand	NZL	Men	Rowing	Rowing	Single Sculls	M
Miroslava Knapkova	Czech Republic	CZE	Women	Rowing	Rowing	Single Sculls	W
Malcolm Page	Australia	AUS	Men	Sailing	Sailing	470 - Two Person Dinghy	M
Mathew Belcher	Australia	AUS	Men	Sailing	Sailing	470 - Two Person Dinghy	M
Jo Aleh	New Zealand	NZL	Women	Sailing	Sailing	470 - Two Person Dinghy	W
Olivia Powrie	New Zealand	NZL	Women	Sailing	Sailing	470 - Two Person Dinghy	W
Iain Jensen	Australia	AUS	Men	Sailing	Sailing	49er - Skiff	M
Nathan Outteridge	Australia	AUS	Men	Sailing	Sailing	49er - Skiff	M
Tamara Echegoyen	Spain	ESP	Women	Sailing	Sailing	Elliot 6m	W
Angela Pumariega	Spain	ESP	Women	Sailing	Sailing	Elliot 6m	W
Sofia Toro	Spain	ESP	Women	Sailing	Sailing	Elliot 6m	W
Ben Ainslie	Great Britain	GBR	Men	Sailing	Sailing	Finn - Heavyweight Dinghy	M
Tom Slingsby	Australia	AUS	Men	Sailing	Sailing	Laser - One Person Dinghy	M
Lijia Xu	People's Republic of China	CHN	Women	Sailing	Sailing	Laser Radial - One Person Dinghy	W
Dorian van Rijsselberge	Netherlands	NED	Men	Sailing	Sailing	RS:X - Windsurfer	M
Marina Alabau Neira	Spain	ESP	Women	Sailing	Sailing	RS:X - Windsurfer	W
Fredrik Loof	Sweden	SWE	Men	Sailing	Sailing	Star - Keelboat	M
Max Salminen	Sweden	SWE	Men	Sailing	Sailing	Star - Keelboat	M
Jongoh Jin	Republic of Korea	KOR	Men	Shooting	Shooting	10m Air Pistol	M
Wenjun Guo	People's Republic of China	CHN	Women	Shooting	Shooting	10m Air Pistol	W
Alin George Moldoveanu	Romania	ROM	Men	Shooting	Shooting	10m Air Rifle	M
Siling Yi	People's Republic of China	CHN	Women	Shooting	Shooting	10m Air Rifle	W
Jangmi Kim	Republic of Korea	KOR	Women	Shooting	Shooting	25m Pistol	W
Leuris Pupo	Cuba	CUB	Men	Shooting	Shooting	25m Rapid Fire Pistol	M
Jongoh Jin	Republic of Korea	KOR	Men	Shooting	Shooting	50m Pistol	M
Jamie Lynn Gray	United States of America	USA	Women	Shooting	Shooting	50m Rifle 3 Positions	W
Niccolo Campriani	Italy	ITA	Men	Shooting	Shooting	50m Rifle 3 Positions	M
Sergei Martynov	Belarus	BLR	Men	Shooting	Shooting	50m Rifle Prone	M
Peter Robert Russell Wilson	Great Britain	GBR	Men	Shooting	Shooting	Double Trap	M
Kimberly Rhode	United States of America	USA	Women	Shooting	Shooting	Skeet	W
Vincent Hancock	United States of America	USA	Men	Shooting	Shooting	Skeet	M
Giovanni Cernogoraz	Croatia	CRO	Men	Shooting	Shooting	Trap	M
Jessica Rossi	Italy	ITA	Women	Shooting	Shooting	Trap	W
Jike Zhang	People's Republic of China	CHN	Men	Table Tennis	Table Tennis	Singles	M
Xiaoxia Li	People's Republic of China	CHN	Women	Table Tennis	Table Tennis	Singles	W
Hao Wang	People's Republic of China	CHN	Men	Table Tennis	Table Tennis	Team	M
Jike Zhang	People's Republic of China	CHN	Men	Table Tennis	Table Tennis	Team	M
Xiaoxia Li	People's Republic of China	CHN	Women	Table Tennis	Table Tennis	Team	W
Yue Guo	People's Republic of China	CHN	Women	Table Tennis	Table Tennis	Team	W
Jingyu Wu	People's Republic of China	CHN	Women	Taekwondo	Taekwondo	-49kg	W
Jade Jones	Great Britain	GBR	Women	Taekwondo	Taekwondo	-57kg	W
Hwang Kyung-Seon	Republic of Korea	KOR	Women	Taekwondo	Taekwondo	-67kg	W
Milica Mandic	Serbia	SCG	Women	Taekwondo	Taekwondo	+67kg	W
Carlo Molfetta	Italy	ITA	Men	Taekwondo	Taekwondo	+80kg	M
Sebastian Crismanich	Argentina	ARG	Men	Taekwondo	Taekwondo	-80kg	M
Joel Gonzalez Bonilla	Spain	ESP	Men	Taekwondo	Taekwondo	-58kg	M
Servet Tazegul	Turkey	TUR	Men	Taekwondo	Taekwondo	-68kg	M
Bob Bryan	United States of America	USA	Men	Tennis	Tennis	Doubles	M
Mike Bryan	United States of America	USA	Men	Tennis	Tennis	Doubles	M
Serena Williams	United States of America	USA	Women	Tennis	Tennis	Doubles	W
Venus Williams	United States of America	USA	Women	Tennis	Tennis	Doubles	W
Max Mirnyi	Belarus	BLR	Men	Tennis	Tennis	Mixed Doubles	X
Victoria Azarenka	Belarus	BLR	Women	Tennis	Tennis	Mixed Doubles	X
Andy Murray	Great Britain	GBR	Men	Tennis	Tennis	Singles	M
Serena Williams	United States of America	USA	Women	Tennis	Tennis	Singles	W
Alistair Brownlee	Great Britain	GBR	Men	Triathlon	Triathlon	Triathlon	M
Nicola Spirig	Switzerland	SUI	Women	Triathlon	Triathlon	Triathlon	W
Jonas Reckermann	Germany	GER	Men	Volleyball	Beach volley.	beach volleyball	M
Julius Brink	Germany	GER	Men	Volleyball	Beach volley.	beach volleyball	M
Kerri Walsh Jennings	United States of America	USA	Women	Volleyball	Beach volley.	beach volleyball	W
Misty May-Treanor	United States of America	USA	Women	Volleyball	Beach volley.	beach volleyball	W
	Russian Federation	RUS	Men	Volleyball	Volleyball	volleyball	M
	Brazil	BRA	Women	Volleyball	Volleyball	volleyball	W
	Croatia	CRO	Men	Aquatics	Water polo	water polo	M
Behdad Salimikordasiabi	Islamic Republic of Iran	IRI	Men	Weightlifting	Weightlifting	+105kg	M
Lulu Zhou	People's Republic of China	CHN	Women	Weightlifting	Weightlifting	+75kg	W
Adrian Edward Zielinksi	Poland	POL	Men	Weightlifting	Weightlifting	+85kg	M
Oleksiy Torokhtiy	Ukraine	UKR	Men	Weightlifting	Weightlifting	105kg	M
Mingjuan Wang	People's Republic of China	CHN	Women	Weightlifting	Weightlifting	48kg	W
Zulfiya Chinshanlo	Kazakhstan	KAZ	Women	Weightlifting	Weightlifting	53kg	W
Yun Chol Om	Democratic People's Republic of Korea	PRK	Men	Weightlifting	Weightlifting	56kg	M
Xueying Li	People's Republic of China	CHN	Women	Weightlifting	Weightlifting	58kg	W
Un Guk Kim	Democratic People's Republic of Korea	PRK	Men	Weightlifting	Weightlifting	62kg	M
Maiya Maneza	Kazakhstan	KAZ	Women	Weightlifting	Weightlifting	63kg	W
Jong Sim Rim	Democratic People's Republic of Korea	PRK	Women	Weightlifting	Weightlifting	69kg	W
Qingfeng Lin	People's Republic of China	CHN	Men	Weightlifting	Weightlifting	69kg	M
Svetlana Podobedova	Kazakhstan	KAZ	Women	Weightlifting	Weightlifting	75kg	W
Xiaojun Lu	People's Republic of China	CHN	Men	Weightlifting	Weightlifting	77kg	M
Ilya Ilyin	Kazakhstan	KAZ	Men	Weightlifting	Weightlifting	94kg	M
Dzhamal Otarsultanov	Russian Federation	RUS	Men	Wrestling	Wrestling Free.	55kg Freestyle	M
Toghrul Asgarov	Azerbaijan	AZE	Men	Wrestling	Wrestling Free.	60kg Freestyle	M
Tatsuhiro Yonemitsu	Japan	JPN	Men	Wrestling	Wrestling Free.	66kg Freestyle	M
Jordan Burroughs	United States of America	USA	Men	Wrestling	Wrestling Free.	74kg Freestyle	M
Sharif Sharifov	Azerbaijan	AZE	Men	Wrestling	Wrestling Free.	84kg Freestyle	M
Jacob Varner	United States of America	USA	Men	Wrestling	Wrestling Free.	96kg Freestyle	M
Artur Taymazov	Uzbekistan	UZB	Men	Wrestling	Wrestling Free.	120kg Freestyle	M
Hitomi Obara	Japan	JPN	Women	Wrestling	Wrestling Free.	48kg Freestyle	W
Saori Yoshida	Japan	JPN	Women	Wrestling	Wrestling Free.	55kg Freestyle	W
Kaori Icho	Japan	JPN	Women	Wrestling	Wrestling Free.	63kg Freestyle	W
Natalia Vorobeva	Russian Federation	RUS	Women	Wrestling	Wrestling Free.	72kg Freestyle	W
Mijain Lopez Nunez	Cuba	CUB	Men	Wrestling	Wrestling Gre-R	120kg Greco-Roman	M
Hamid Mohammad Soryan Reihanpour	Islamic Republic of Iran	IRI	Men	Wrestling	Wrestling Gre-R	55kg Greco-Roman	M
Omid Haji Noroozi	Islamic Republic of Iran	IRI	Men	Wrestling	Wrestling Gre-R	60kg Greco-Roman	M
Hyeonwoo Kim	Republic of Korea	KOR	Men	Wrestling	Wrestling Gre-R	66kg Greco-Roman	M
Roman Vlasov	Russian Federation	RUS	Men	Wrestling	Wrestling Gre-R	74kg Greco-Roman	M
Alan Khugaev	Russian Federation	RUS	Men	Wrestling	Wrestling Gre-R	84kg Greco-Roman	M
Ghasem Rezaei	Islamic Republic of Iran	IRI	Men	Wrestling	Wrestling Gre-R	96kg Greco-Roman	M
